Award_ID,Award_Name,Subfield,Title,Author_1,Author_1_Gender,Author_2,Author_2_Gender,Author_3,Author_3_Gender,Author_4,Author_4_Gender,Author_5,Author_5_Gender,Author_6,Author_6_Gender,Author_7,Author_7_Gender,Author_8,Author_8_Gender,Author_9,Author_9_Gender,Year_Won,Year_Published,Journal,DOI,Prize_Type,Prize_Rank,Author_Count,Primary_Method,Source_Award_Page,Notes,ASA
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Global Competition Institutions and the Diffusion of Organizational Practices: The International Spread of the ISO 9000 Quality Certificates,Isin Guler,female,Mauro Guillen,male,John MacPherson,male,,,,,,,,,,,,,2003,2002,Administrative Science Quarterly,,Winner,Winner,3,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Social Capital at Work: Networks and Employment at a Phone Center,Emilio Castilla,male,Paul Moore,male,,,,,,,,,,,,,,,2001,2000,American Journal of Sociology,,Winner,Winner,2,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Institutional Logics and Historical Contingency of Power in Organizations: Executive Succession in the Higher Education Industry 1958-1990,Patricia Thornton,female,,,,,,,,,,,,,,,,,2000,1999,American Journal of Sociology,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,Top-Down and Bottom-Up Formalization: Waste Pickers' Struggles for Labor Rights in Sao Paulo and Bogota,Manuel Rosaldo,male,,,,,,,,,,,,,,,,,2025,2024,ILR Review,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,The Making of the Good Bad Job: How Algorithmic Management Manufactures Consent Through Constant and Confined Choices,Lindsey D. Cameron,female,,,,,,,,,,,,,,,,,2025,2024,Administrative Science Quarterly,,Honorable Mention,Honorable Mention,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,Moralizing the Strike: Nurses Associations and the Justification of Workplace Conflict in California Hospitals,Pablo Gaston,male,,,,,,,,,,,,,,,,,2024,2022,American Journal of Sociology,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,The Right to Work and American Inequality,Tom VanHeuvelen,male,,,,,,,,,,,,,,,,,2024,2023,American Sociological Review,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,The Dilemma of Foxconn Moms: Social Reproduction and the Rise of Gig Manufacturing in China,Yige Dong,female,,,,,,,,,,,,,,,,,2023,2022,Critical Sociology,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,Striking News: Discursive Power of the Press as Capitalist Resource in Gilded Age Strikes,Larry Isaac,male,Quan D. Mai,male,Jonathan S. Coley,male,Anna W. Jacobs,female,,,,,,,,,,,2023,2022,American Journal of Sociology,,Honorable Mention,Honorable Mention,4,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,Selling a Resume and Buying a Job: Stratification of Gender and Occupation by States and Brokers in International Migration from Indonesia,Andy Scott Chang,male,,,,,,,,,,,,,,,,,2022,2021,Social Problems,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
